Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /api/items,2500,129,130,148,155,165,77,539,0.000%,41.97659,7784.51,7.50
GET /api/items/941,3,114,127,133,133,133,82,133,0.000%,.06770,0.03,0.01
POST /api/items,750,135,129,148,154,404,82,1144,0.000%,12.72783,5.52,3.72
PUT /api/items/908,1,79,79,79,79,79,79,79,0.000%,12.65823,5.51,3.63
GET /api/items/258,2,102,75,130,130,130,75,130,0.000%,.06865,0.03,0.01
PUT /api/items/763,1,75,75,75,75,75,75,75,0.000%,13.33333,5.81,3.83
GET /api/items/028,2,97,84,110,110,110,84,110,0.000%,.07997,0.03,0.01
PUT /api/items/926,2,101,79,123,123,123,79,123,0.000%,.03896,0.02,0.01
GET /api/items/184,2,112,91,134,134,134,91,134,0.000%,.06218,0.03,0.01
GET /api/items/226,2,107,91,124,124,124,91,124,0.000%,.05789,0.03,0.01
PUT /api/items/001,4,121,124,127,127,127,108,127,0.000%,.10297,0.04,0.03
GET /api/items/203,2,96,93,100,100,100,93,100,0.000%,.52798,0.23,0.10
PUT /api/items/307,2,114,101,128,128,128,101,128,0.000%,.05491,0.02,0.02
GET /api/items/007,2,105,82,128,128,128,82,128,0.000%,.05134,0.02,0.01
PUT /api/items/110,3,117,110,141,141,141,102,141,0.000%,.05328,0.02,0.02
GET /api/items/542,2,116,114,118,118,118,114,118,0.000%,.10890,0.05,0.02
GET /api/items/326,1,96,96,96,96,96,96,96,0.000%,10.41667,4.54,1.90
GET /api/items/302,4,107,105,128,128,128,90,128,0.000%,.07325,0.03,0.01
PUT /api/items/094,2,103,96,110,110,110,96,110,0.000%,.03979,0.02,0.01
GET /api/items/901,2,105,80,131,131,131,80,131,0.000%,.06574,0.03,0.01
PUT /api/items/004,1,97,97,97,97,97,97,97,0.000%,10.30928,4.47,2.96
PUT /api/items/031,1,84,84,84,84,84,84,84,0.000%,11.90476,5.17,3.42
GET /api/items/339,1,105,105,105,105,105,105,105,0.000%,9.52381,4.15,1.74
GET /api/items/727,1,101,101,101,101,101,101,101,0.000%,9.90099,4.31,1.81
GET /api/items/200,3,126,129,142,142,142,107,142,0.000%,.09313,0.04,0.02
PUT /api/items/784,2,120,103,138,138,138,103,138,0.000%,.06745,0.03,0.02
PUT /api/items/942,1,99,99,99,99,99,99,99,0.000%,10.10101,4.40,2.90
GET /api/items/862,2,120,110,130,130,130,110,130,0.000%,.10540,0.05,0.02
PUT /api/items/158,2,109,92,127,127,127,92,127,0.000%,.04535,0.02,0.01
GET /api/items/134,3,117,126,145,145,145,82,145,0.000%,.11493,0.05,0.02
GET /api/items/473,2,112,106,119,119,119,106,119,0.000%,.11389,0.05,0.02
GET /api/items/902,1,90,90,90,90,90,90,90,0.000%,11.11111,4.84,2.03
PUT /api/items/969,1,94,94,94,94,94,94,94,0.000%,10.63830,4.63,3.05
PUT /api/items/557,2,108,94,123,123,123,94,123,0.000%,.11484,0.05,0.03
GET /api/items/536,1,95,95,95,95,95,95,95,0.000%,10.52632,4.58,1.92
PUT /api/items/603,1,93,93,93,93,93,93,93,0.000%,10.75269,4.68,3.09
GET /api/items/463,2,110,105,115,115,115,105,115,0.000%,.09405,0.04,0.02
GET /api/items/538,1,107,107,107,107,107,107,107,0.000%,9.34579,4.07,1.71
GET /api/items/697,2,120,91,149,149,149,91,149,0.000%,.06706,0.03,0.01
GET /api/items/174,2,112,106,119,119,119,106,119,0.000%,.08851,0.04,0.02
PUT /api/items/673,1,107,107,107,107,107,107,107,0.000%,9.34579,4.07,2.68
PUT /api/items/721,1,107,107,107,107,107,107,107,0.000%,9.34579,4.07,2.68
GET /api/items/265,2,101,80,123,123,123,80,123,0.000%,.05115,0.02,0.01
PUT /api/items/225,1,104,104,104,104,104,104,104,0.000%,9.61538,4.19,2.76
GET /api/items/888,3,110,122,127,127,127,81,127,0.000%,.08301,0.04,0.02
GET /api/items/523,1,105,105,105,105,105,105,105,0.000%,9.52381,4.15,1.74
PUT /api/items/594,2,98,82,115,115,115,82,115,0.000%,.10332,0.04,0.03
GET /api/items/101,3,115,110,131,131,131,106,131,0.000%,.06197,0.03,0.01
PUT /api/items/184,1,104,104,104,104,104,104,104,0.000%,9.61538,4.19,2.76
GET /api/items/190,3,107,105,123,123,123,93,123,0.000%,.06113,0.03,0.01
GET /api/items/924,2,122,103,142,142,142,103,142,0.000%,.04837,0.02,0.01
PUT /api/items/569,2,125,93,157,157,157,93,157,0.000%,.11398,0.05,0.03
GET /api/items/462,1,92,92,92,92,92,92,92,0.000%,10.86957,4.73,1.98
PUT /api/items/888,1,84,84,84,84,84,84,84,0.000%,11.90476,5.19,3.42
GET /api/items/889,1,107,107,107,107,107,107,107,0.000%,9.34579,4.07,1.71
PUT /api/items/915,1,94,94,94,94,94,94,94,0.000%,10.63830,4.63,3.05
GET /api/items/756,2,113,107,119,119,119,107,119,0.000%,.09200,0.04,0.02
GET /api/items/135,1,87,87,87,87,87,87,87,0.000%,11.49425,5.01,2.10
PUT /api/items/581,2,107,106,109,109,109,106,109,0.000%,.20606,0.09,0.06
GET /api/items/255,1,91,91,91,91,91,91,91,0.000%,10.98901,4.79,2.01
PUT /api/items/760,1,94,94,94,94,94,94,94,0.000%,10.63830,4.63,3.05
GET /api/items/077,1,84,84,84,84,84,84,84,0.000%,11.90476,5.15,2.17
