Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /api/items,500,244,251,270,277,284,183,364,0.000%,16.96353,2645.28,3.11
GET /api/items/296,1,141,141,141,141,141,141,141,0.000%,7.09220,3.29,1.33
POST /api/items,150,182,183,204,207,220,144,287,0.000%,5.25394,2.64,1.56
PUT /api/items/821,1,153,153,153,153,153,153,153,0.000%,6.53595,3.03,1.91
GET /api/items/674,2,165,160,170,170,170,160,170,0.000%,.08775,0.04,0.02
PUT /api/items/721,2,162,162,163,163,163,162,163,0.000%,1.48368,0.69,0.43
GET /api/items/807,1,138,138,138,138,138,138,138,0.000%,7.24638,3.36,1.36
PUT /api/items/146,1,162,162,162,162,162,162,162,0.000%,6.17284,2.86,1.80
GET /api/items/225,2,145,138,153,153,153,138,153,0.000%,1.49365,0.69,0.28
GET /api/items/113,1,151,151,151,151,151,151,151,0.000%,6.62252,3.07,1.24
GET /api/items/400,1,135,135,135,135,135,135,135,0.000%,7.40741,3.44,1.39
GET /api/items/344,1,139,139,139,139,139,139,139,0.000%,7.19424,3.34,1.35
PUT /api/items/796,1,146,146,146,146,146,146,146,0.000%,6.84932,3.18,2.00
PUT /api/items/096,2,164,149,180,180,180,149,180,0.000%,.42744,0.20,0.12
GET /api/items/116,1,156,156,156,156,156,156,156,0.000%,6.41026,2.97,1.20
GET /api/items/716,1,138,138,138,138,138,138,138,0.000%,7.24638,3.36,1.36
GET /api/items/305,1,136,136,136,136,136,136,136,0.000%,7.35294,3.41,1.38
PUT /api/items/379,1,158,158,158,158,158,158,158,0.000%,6.32911,2.94,1.85
PUT /api/items/895,1,162,162,162,162,162,162,162,0.000%,6.17284,2.86,1.80
PUT /api/items/294,1,164,164,164,164,164,164,164,0.000%,6.09756,2.83,1.78
GET /api/items/244,1,143,143,143,143,143,143,143,0.000%,6.99301,3.24,1.31
GET /api/items/826,1,159,159,159,159,159,159,159,0.000%,6.28931,2.92,1.18
PUT /api/items/405,1,149,149,149,149,149,149,149,0.000%,6.71141,3.11,1.96
GET /api/items/444,1,158,158,158,158,158,158,158,0.000%,6.32911,2.94,1.19
GET /api/items/364,2,153,149,158,158,158,149,158,0.000%,.09094,0.04,0.02
PUT /api/items/590,1,171,171,171,171,171,171,171,0.000%,5.84795,2.71,1.71
GET /api/items/106,2,156,137,175,175,175,137,175,0.000%,.25800,0.12,0.05
PUT /api/items/730,2,176,153,199,199,199,153,199,0.000%,.23337,0.11,0.07
GET /api/items/864,1,145,145,145,145,145,145,145,0.000%,6.89655,3.20,1.29
GET /api/items/289,2,151,150,152,152,152,150,152,0.000%,.10356,0.05,0.02
GET /api/items/112,1,169,169,169,169,169,169,169,0.000%,5.91716,2.74,1.11
PUT /api/items/419,1,176,176,176,176,176,176,176,0.000%,5.68182,2.64,1.66
PUT /api/items/424,1,151,151,151,151,151,151,151,0.000%,6.62252,3.07,1.93
GET /api/items/477,1,144,144,144,144,144,144,144,0.000%,6.94444,3.22,1.30
PUT /api/items/505,1,172,172,172,172,172,172,172,0.000%,5.81395,2.70,1.70
GET /api/items/133,1,161,161,161,161,161,161,161,0.000%,6.21118,2.88,1.16
GET /api/items/025,1,152,152,152,152,152,152,152,0.000%,6.57895,3.05,1.23
GET /api/items/308,1,170,170,170,170,170,170,170,0.000%,5.88235,2.73,1.10
PUT /api/items/818,1,153,153,153,153,153,153,153,0.000%,6.53595,3.03,1.91
PUT /api/items/091,2,182,170,194,194,194,170,194,0.000%,.16618,0.08,0.05
GET /api/items/899,1,235,235,235,235,235,235,235,0.000%,4.25532,1.98,0.80
PUT /api/items/036,1,180,180,180,180,180,180,180,0.000%,5.55556,2.57,1.62
GET /api/items/528,2,168,159,177,177,177,159,177,0.000%,.13088,0.06,0.02
GET /api/items/999,1,150,150,150,150,150,150,150,0.000%,6.66667,3.09,1.25
PUT /api/items/414,1,158,158,158,158,158,158,158,0.000%,6.32911,2.94,1.85
GET /api/items/878,1,162,162,162,162,162,162,162,0.000%,6.17284,2.86,1.16
PUT /api/items/724,1,156,156,156,156,156,156,156,0.000%,6.41026,2.97,1.87
GET /api/items/540,1,173,173,173,173,173,173,173,0.000%,5.78035,2.68,1.08
PUT /api/items/823,1,192,192,192,192,192,192,192,0.000%,5.20833,2.42,1.52
GET /api/items/847,1,160,160,160,160,160,160,160,0.000%,6.25000,2.90,1.17
GET /api/items/218,1,155,155,155,155,155,155,155,0.000%,6.45161,2.99,1.21
PUT /api/items/829,1,170,170,170,170,170,170,170,0.000%,5.88235,2.73,1.72
GET /api/items/397,1,187,187,187,187,187,187,187,0.000%,5.34759,2.48,1.00
PUT /api/items/553,1,180,180,180,180,180,180,180,0.000%,5.55556,2.58,1.62
GET /api/items/856,1,163,163,163,163,163,163,163,0.000%,6.13497,2.85,1.15
PUT /api/items/453,2,179,165,193,193,193,165,193,0.000%,.21580,0.10,0.06
GET /api/items/125,1,161,161,161,161,161,161,161,0.000%,6.21118,2.88,1.16
GET /api/items/071,1,179,179,179,179,179,179,179,0.000%,5.58659,2.59,1.05
PUT /api/items/281,2,185,166,205,205,205,166,205,0.000%,.57274,0.27,0.17
GET /api/items/887,1,176,176,176,176,176,176,176,0.000%,5.68182,2.64,1.07
