Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /api/items,500,239,244,265,268,282,183,342,0.000%,15.34072,2255.00,2.82
GET /api/items/784,1,201,201,201,201,201,201,201,0.000%,4.97512,2.23,0.93
POST /api/items,150,220,221,245,251,288,169,298,0.000%,4.76130,2.28,1.41
PUT /api/items/556,1,210,210,210,210,210,210,210,0.000%,4.76190,2.13,1.39
GET /api/items/129,1,202,202,202,202,202,202,202,0.000%,4.95050,2.21,0.93
PUT /api/items/533,1,204,204,204,204,204,204,204,0.000%,4.90196,2.19,1.43
GET /api/items/843,2,199,178,221,221,221,178,221,0.000%,.16479,0.07,0.03
PUT /api/items/643,1,199,199,199,199,199,199,199,0.000%,5.02513,2.25,1.47
GET /api/items/079,3,228,243,247,247,247,194,247,0.000%,.22333,0.10,0.04
GET /api/items/400,1,198,198,198,198,198,198,198,0.000%,5.05051,2.26,0.95
GET /api/items/156,1,172,172,172,172,172,172,172,0.000%,5.81395,2.60,1.09
PUT /api/items/790,1,196,196,196,196,196,196,196,0.000%,5.10204,2.28,1.49
GET /api/items/688,1,199,199,199,199,199,199,199,0.000%,5.02513,2.25,0.94
PUT /api/items/018,1,194,194,194,194,194,194,194,0.000%,5.15464,2.30,1.51
PUT /api/items/395,1,205,205,205,205,205,205,205,0.000%,4.87805,2.18,1.42
GET /api/items/973,1,177,177,177,177,177,177,177,0.000%,5.64972,2.53,1.06
GET /api/items/355,1,178,178,178,178,178,178,178,0.000%,5.61798,2.51,1.05
GET /api/items/210,1,190,190,190,190,190,190,190,0.000%,5.26316,2.35,0.99
PUT /api/items/157,1,195,195,195,195,195,195,195,0.000%,5.12821,2.29,1.50
PUT /api/items/357,1,181,181,181,181,181,181,181,0.000%,5.52486,2.47,1.61
GET /api/items/087,2,187,180,194,194,194,180,194,0.000%,.77973,0.35,0.15
PUT /api/items/761,2,212,196,228,228,228,196,228,0.000%,.21070,0.09,0.06
GET /api/items/102,1,203,203,203,203,203,203,203,0.000%,4.92611,2.20,0.92
GET /api/items/272,1,205,205,205,205,205,205,205,0.000%,4.87805,2.18,0.91
GET /api/items/108,1,181,181,181,181,181,181,181,0.000%,5.52486,2.47,1.04
GET /api/items/901,1,191,191,191,191,191,191,191,0.000%,5.23560,2.34,0.98
PUT /api/items/450,1,187,187,187,187,187,187,187,0.000%,5.34759,2.39,1.56
PUT /api/items/221,1,186,186,186,186,186,186,186,0.000%,5.37634,2.40,1.57
GET /api/items/024,2,196,187,205,205,205,187,205,0.000%,1.96271,0.88,0.37
PUT /api/items/336,1,209,209,209,209,209,209,209,0.000%,4.78469,2.14,1.40
GET /api/items/489,1,205,205,205,205,205,205,205,0.000%,4.87805,2.18,0.91
GET /api/items/025,1,187,187,187,187,187,187,187,0.000%,5.34759,2.39,1.00
GET /api/items/152,1,190,190,190,190,190,190,190,0.000%,5.26316,2.35,0.99
PUT /api/items/970,1,196,196,196,196,196,196,196,0.000%,5.10204,2.28,1.49
PUT /api/items/173,1,209,209,209,209,209,209,209,0.000%,4.78469,2.14,1.40
GET /api/items/723,1,208,208,208,208,208,208,208,0.000%,4.80769,2.15,0.90
PUT /api/items/291,1,204,204,204,204,204,204,204,0.000%,4.90196,2.19,1.43
GET /api/items/654,1,219,219,219,219,219,219,219,0.000%,4.56621,2.04,0.86
GET /api/items/794,3,220,228,240,240,240,193,240,0.000%,.22918,0.10,0.04
PUT /api/items/662,1,215,215,215,215,215,215,215,0.000%,4.65116,2.08,1.36
PUT /api/items/345,1,195,195,195,195,195,195,195,0.000%,5.12821,2.29,1.50
PUT /api/items/239,2,190,179,201,201,201,179,201,0.000%,.08312,0.04,0.02
GET /api/items/345,1,222,222,222,222,222,222,222,0.000%,4.50450,2.01,0.84
GET /api/items/798,2,197,190,204,204,204,190,204,0.000%,.08053,0.04,0.02
PUT /api/items/463,2,237,208,266,266,266,208,266,0.000%,.15154,0.07,0.04
GET /api/items/976,1,224,224,224,224,224,224,224,0.000%,4.46429,2.00,0.84
PUT /api/items/089,1,218,218,218,218,218,218,218,0.000%,4.58716,2.05,1.34
GET /api/items/186,2,215,207,223,223,223,207,223,0.000%,4.14938,1.86,0.78
PUT /api/items/196,1,224,224,224,224,224,224,224,0.000%,4.46429,2.00,1.30
GET /api/items/366,1,207,207,207,207,207,207,207,0.000%,4.83092,2.16,0.91
GET /api/items/120,1,217,217,217,217,217,217,217,0.000%,4.60829,2.06,0.86
PUT /api/items/995,1,238,238,238,238,238,238,238,0.000%,4.20168,1.88,1.23
PUT /api/items/638,1,241,241,241,241,241,241,241,0.000%,4.14938,1.86,1.21
GET /api/items/275,1,224,224,224,224,224,224,224,0.000%,4.46429,2.00,0.84
PUT /api/items/803,2,195,177,214,214,214,177,214,0.000%,.09582,0.04,0.03
GET /api/items/041,1,216,216,216,216,216,216,216,0.000%,4.62963,2.07,0.87
GET /api/items/382,1,203,203,203,203,203,203,203,0.000%,4.92611,2.20,0.92
GET /api/items/279,1,219,219,219,219,219,219,219,0.000%,4.56621,2.04,0.86
PUT /api/items/383,1,220,220,220,220,220,220,220,0.000%,4.54545,2.03,1.33
PUT /api/items/981,2,227,215,239,239,239,215,239,0.000%,.13431,0.06,0.04
GET /api/items/068,1,224,224,224,224,224,224,224,0.000%,4.46429,1.99,0.84
PUT /api/items/522,1,214,214,214,214,214,214,214,0.000%,4.67290,2.09,1.36
GET /api/items/461,1,233,233,233,233,233,233,233,0.000%,4.29185,1.92,0.80
GET /api/items/083,1,211,211,211,211,211,211,211,0.000%,4.73934,2.12,0.89
GET /api/items/104,1,232,232,232,232,232,232,232,0.000%,4.31034,1.93,0.81
PUT /api/items/161,1,242,242,242,242,242,242,242,0.000%,4.13223,1.85,1.21
PUT /api/items/350,1,226,226,226,226,226,226,226,0.000%,4.42478,1.98,1.29
GET /api/items/966,1,246,246,246,246,246,246,246,0.000%,4.06504,1.82,0.76
