Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /api/items,2500,142,139,207,228,265,56,392,0.000%,40.75976,7456.15,7.32
GET /api/items/269,1,70,70,70,70,70,70,70,0.000%,14.28571,7.18,2.62
POST /api/items,750,161,144,219,252,1016,60,1308,0.000%,12.32600,5.73,3.61
PUT /api/items/432,1,63,63,63,63,63,63,63,0.000%,15.87302,7.98,4.57
GET /api/items/484,2,152,87,218,218,218,87,218,0.000%,.04819,0.02,0.01
PUT /api/items/041,1,90,90,90,90,90,90,90,0.000%,11.11111,5.58,3.20
GET /api/items/031,1,71,71,71,71,71,71,71,0.000%,14.08451,7.07,2.59
PUT /api/items/407,1,61,61,61,61,61,61,61,0.000%,16.39344,8.24,4.72
GET /api/items/379,2,607,67,1148,1148,1148,67,1148,0.000%,.15823,0.08,0.03
GET /api/items/618,1,90,90,90,90,90,90,90,0.000%,11.11111,5.59,2.04
PUT /api/items/465,1,61,61,61,61,61,61,61,0.000%,16.39344,8.24,4.72
GET /api/items/973,1,73,73,73,73,73,73,73,0.000%,13.69863,6.89,2.51
PUT /api/items/804,2,143,79,207,207,207,79,207,0.000%,.04482,0.02,0.01
GET /api/items/028,2,152,94,211,211,211,94,211,0.000%,.06281,0.03,0.01
PUT /api/items/764,1,78,78,78,78,78,78,78,0.000%,12.82051,6.45,3.69
GET /api/items/487,1,83,83,83,83,83,83,83,0.000%,12.04819,6.06,2.21
GET /api/items/323,1,60,60,60,60,60,60,60,0.000%,16.66667,8.38,3.06
GET /api/items/887,5,123,120,128,177,177,89,177,0.000%,.12429,0.06,0.02
PUT /api/items/637,3,100,76,155,155,155,70,155,0.000%,.05187,0.03,0.01
GET /api/items/747,3,124,116,175,175,175,82,175,0.000%,.05513,0.03,0.01
PUT /api/items/022,3,129,136,189,189,189,64,189,0.000%,.06618,0.03,0.02
GET /api/items/272,2,77,77,77,77,77,77,77,0.000%,.03595,0.02,0.01
PUT /api/items/933,2,116,82,150,150,150,82,150,0.000%,.04984,0.03,0.01
GET /api/items/407,2,106,81,132,132,132,81,132,0.000%,.04087,0.02,0.01
GET /api/items/253,1,85,85,85,85,85,85,85,0.000%,11.76471,5.92,2.16
PUT /api/items/331,1,62,62,62,62,62,62,62,0.000%,16.12903,8.11,4.65
GET /api/items/640,3,102,87,151,151,151,69,151,0.000%,.12962,0.07,0.02
PUT /api/items/875,1,78,78,78,78,78,78,78,0.000%,12.82051,6.45,3.69
GET /api/items/215,2,112,60,164,164,164,60,164,0.000%,.07470,0.04,0.01
PUT /api/items/312,1,101,101,101,101,101,101,101,0.000%,9.90099,4.98,2.85
GET /api/items/611,3,148,173,190,190,190,83,190,0.000%,.06401,0.03,0.01
GET /api/items/016,1,86,86,86,86,86,86,86,0.000%,11.62791,5.84,2.13
PUT /api/items/127,2,95,86,104,104,104,86,104,0.000%,.72359,0.36,0.21
GET /api/items/555,1,63,63,63,63,63,63,63,0.000%,15.87302,7.98,2.91
PUT /api/items/880,2,132,104,161,161,161,104,161,0.000%,.05647,0.03,0.02
PUT /api/items/264,1,64,64,64,64,64,64,64,0.000%,15.62500,7.86,4.50
GET /api/items/191,2,111,79,143,143,143,79,143,0.000%,.07358,0.04,0.01
GET /api/items/168,1,78,78,78,78,78,78,78,0.000%,12.82051,6.45,2.35
GET /api/items/485,5,147,160,165,212,212,64,212,0.000%,.09655,0.05,0.02
PUT /api/items/732,2,143,70,217,217,217,70,217,0.000%,.06455,0.03,0.02
GET /api/items/528,1,65,65,65,65,65,65,65,0.000%,15.38462,7.74,2.82
PUT /api/items/664,1,102,102,102,102,102,102,102,0.000%,9.80392,4.93,2.82
GET /api/items/913,2,81,70,93,93,93,70,93,0.000%,.67774,0.34,0.12
PUT /api/items/001,1,91,91,91,91,91,91,91,0.000%,10.98901,5.51,3.17
GET /api/items/439,3,140,130,192,192,192,100,192,0.000%,.08006,0.04,0.01
GET /api/items/829,3,117,125,150,150,150,78,150,0.000%,.12672,0.06,0.02
PUT /api/items/770,1,88,88,88,88,88,88,88,0.000%,11.36364,5.72,3.27
PUT /api/items/380,2,118,91,145,145,145,91,145,0.000%,.04361,0.02,0.01
GET /api/items/855,2,96,79,114,114,114,79,114,0.000%,.32352,0.16,0.06
PUT /api/items/967,1,68,68,68,68,68,68,68,0.000%,14.70588,7.40,4.24
GET /api/items/848,1,92,92,92,92,92,92,92,0.000%,10.86957,5.47,2.00
GET /api/items/318,3,149,120,225,225,225,102,225,0.000%,.07462,0.04,0.01
GET /api/items/573,3,122,134,165,165,165,67,165,0.000%,.07632,0.04,0.01
GET /api/items/030,1,79,79,79,79,79,79,79,0.000%,12.65823,6.35,2.32
PUT /api/items/186,1,87,87,87,87,87,87,87,0.000%,11.49425,5.78,3.31
PUT /api/items/872,2,110,83,137,137,137,83,137,0.000%,.04419,0.02,0.01
PUT /api/items/382,2,111,65,157,157,157,65,157,0.000%,.06687,0.03,0.02
GET /api/items/411,2,97,96,99,99,99,96,99,0.000%,.27293,0.14,0.05
GET /api/items/578,1,86,86,86,86,86,86,86,0.000%,11.62791,5.85,2.13
GET /api/items/691,3,116,103,163,163,163,82,163,0.000%,.06318,0.03,0.01
GET /api/items/915,2,95,66,124,124,124,66,124,0.000%,.15499,0.08,0.03
PUT /api/items/282,1,89,89,89,89,89,89,89,0.000%,11.23596,5.65,3.24
PUT /api/items/139,2,111,85,138,138,138,85,138,0.000%,.07914,0.04,0.02
GET /api/items/976,1,67,67,67,67,67,67,67,0.000%,14.92537,7.51,2.74
PUT /api/items/323,1,90,90,90,90,90,90,90,0.000%,11.11111,5.59,3.20
GET /api/items/543,1,113,113,113,113,113,113,113,0.000%,8.84956,4.45,1.62
GET /api/items/792,3,129,118,184,184,184,85,184,0.000%,.05873,0.03,0.01
GET /api/items/055,1,80,80,80,80,80,80,80,0.000%,12.50000,6.27,2.29
PUT /api/items/348,1,87,87,87,87,87,87,87,0.000%,11.49425,5.78,3.31
PUT /api/items/359,1,126,126,126,126,126,126,126,0.000%,7.93651,3.99,2.29
GET /api/items/294,2,111,94,129,129,129,94,129,0.000%,.14001,0.07,0.03
PUT /api/items/120,1,96,96,96,96,96,96,96,0.000%,10.41667,5.24,3.00
GET /api/items/760,4,143,96,206,206,206,79,206,0.000%,.07836,0.04,0.01
GET /api/items/472,4,103,97,129,129,129,75,129,0.000%,.07551,0.04,0.01
GET /api/items/197,2,138,108,169,169,169,108,169,0.000%,.19579,0.10,0.04
PUT /api/items/559,3,117,95,179,179,179,79,179,0.000%,.05653,0.03,0.02
PUT /api/items/729,2,100,95,105,105,105,95,105,0.000%,.46533,0.23,0.13
GET /api/items/066,2,120,72,169,169,169,72,169,0.000%,.09521,0.05,0.02
GET /api/items/898,1,78,78,78,78,78,78,78,0.000%,12.82051,6.45,2.35
